record_id,age,gender,education_level,education_mismatch,sector_of_interest,current_employment_sector,formal_informal,region,location_type,monthly_income,region_employment_rate,regional_unemployment_rate,unemployment_duration,digital_skills_level,technical_skills,training_participation,program_type,household_income,household_size,employment_outcome,intervention_effectiveness,employment_duration_post_intervention,youth_unemployment_rate,urban_rural_employment_rate
1689,21,Female,TVET,FALSE,Construction,Construction,Formal,Kigali,Urban,245567.92,49.07,13.95,None,Intermediate,['Data Analysis'],FALSE,None,Low,8,TRUE,Ineffective,8,19.4,69.28
1690,22,Male,Secondary,TRUE,Construction,None,None,Kigali,Rural,None,88.11,20.64,8,Advanced,['Data Analysis'],TRUE,Business Development,Low,2,FALSE,None,None,19.4,30.24
1691,24,Female,Primary or Less,FALSE,Construction,Construction,Informal,Kigali,Urban,298773.75,41.37,14.41,None,Advanced,['Coding'],TRUE,None,High,6,TRUE,Effective,1,19.4,74.99
1692,17,Male,TVET,FALSE,Construction,Construction,Informal,Eastern,Rural,225654.62,85.87,10.11,None,Basic,['Coding'],TRUE,Vocational Training,High,1,TRUE,Moderately Effective,7,19.4,58.92
1693,17,Female,University,FALSE,Education,None,None,Eastern,Rural,None,58.9,14.66,16,Advanced,[],FALSE,None,Medium,1,FALSE,None,None,19.4,46.54
1694,18,Female,Primary or Less,FALSE,ICT,ICT,Formal,Northern,Rural,83085.86,49.02,25.68,None,Intermediate,['Data Analysis'],TRUE,Business Development,Medium,7,TRUE,Moderately Effective,4,19.4,47.36
1695,21,Male,Primary or Less,FALSE,Education,Education,Informal,Kigali,Urban,143864.54,62.34,15.85,None,Intermediate,['Coding'],TRUE,Digital Skills,Low,2,TRUE,Moderately Effective,4,19.4,63.47
1696,23,Female,Primary or Less,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,162500.66,74.5,25.17,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Medium,4,TRUE,Ineffective,7,19.4,60.23
1697,20,Female,University,FALSE,Construction,Construction,Informal,Kigali,Urban,84617.76,57.35,27.96,None,Advanced,['Coding'],FALSE,None,High,5,TRUE,Moderately Effective,4,19.4,51.79
1698,23,Female,TVET,FALSE,Construction,None,None,Kigali,Urban,None,46.48,25.61,None,Intermediate,[],FALSE,None,Medium,4,FALSE,None,None,19.4,67.34
1699,18,Female,University,FALSE,Construction,None,None,Kigali,Urban,None,55.26,10.39,None,Intermediate,[],TRUE,Business Development,High,1,FALSE,None,None,19.4,61.29
1700,17,Female,TVET,FALSE,Education,Education,Informal,Kigali,Urban,208343.09,44.29,27.29,None,Advanced,['Coding'],TRUE,Business Development,Medium,3,TRUE,Ineffective,10,19.4,71.13
1701,23,Male,University,FALSE,Retail,None,None,Eastern,Rural,None,79.15,12.71,21,Advanced,"['Marketing', 'Project Management']",TRUE,Business Development,Medium,2,FALSE,None,None,19.4,41.12
1702,18,Female,University,FALSE,Education,None,None,Southern,Rural,None,74.94,11.11,3,Intermediate,['Data Analysis'],TRUE,Vocational Training,High,2,FALSE,None,None,19.4,42.17
1703,22,Male,Primary or Less,FALSE,ICT,ICT,Formal,Kigali,Urban,298134.69,77.83,22.47,None,Basic,['Coding'],FALSE,None,Low,8,TRUE,Effective,3,19.4,64.15
1704,22,Male,University,FALSE,Education,Education,Formal,Eastern,Rural,219685.3,68.41,18.35,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,Low,8,TRUE,Ineffective,3,19.4,56.76
1705,25,Female,TVET,TRUE,ICT,None,None,Kigali,Urban,None,79.44,26.5,23,Intermediate,['Data Analysis'],TRUE,None,High,4,FALSE,None,None,19.4,76.66
1706,19,Male,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,84.6,28.09,22,Intermediate,['Coding'],TRUE,Business Development,Medium,7,FALSE,None,None,19.4,78.43
1707,24,Male,TVET,FALSE,Education,Education,Informal,Kigali,Urban,201821.71,89.51,18.14,None,Basic,[],FALSE,None,Medium,1,TRUE,Moderately Effective,7,19.4,72.29
1708,20,Male,Secondary,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,203213.9,57.86,15.23,None,Intermediate,['Coding'],TRUE,None,Medium,4,TRUE,Moderately Effective,9,19.4,74.67
1709,22,Female,University,FALSE,Retail,None,None,Kigali,Urban,None,82.96,19.02,11,Basic,[],FALSE,None,Low,5,FALSE,None,None,19.4,59.46
1710,21,Male,Secondary,FALSE,Construction,Construction,Formal,Southern,Rural,257442.51,46.55,18.21,None,Intermediate,['Data Analysis'],FALSE,None,High,2,TRUE,Moderately Effective,6,19.4,58.17
1711,24,Female,Secondary,FALSE,Retail,None,None,Kigali,Urban,None,59,16.95,None,Advanced,[],FALSE,None,High,4,FALSE,None,None,19.4,64.76
1712,19,Female,TVET,FALSE,Retail,Retail,Formal,Kigali,Urban,169762.76,40.44,28.87,None,Basic,['Data Analysis'],FALSE,None,Medium,1,TRUE,Moderately Effective,9,19.4,70.14
1713,19,Female,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,43.52,27.9,1,Basic,"['Marketing', 'Project Management']",FALSE,None,Low,5,FALSE,None,None,19.4,77.45
1714,22,Female,Primary or Less,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,107278.93,46.42,26.96,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Low,7,TRUE,Moderately Effective,8,19.4,67.73
1715,16,Male,TVET,FALSE,Retail,Retail,Informal,Kigali,Urban,238939.47,69.23,15.89,None,Advanced,[],TRUE,None,Low,4,TRUE,Ineffective,11,19.4,65.62
1716,24,Female,University,FALSE,Education,Education,Formal,Western,Rural,194443.4,82.18,13.45,None,Intermediate,['Data Analysis'],FALSE,None,Medium,7,TRUE,Ineffective,9,19.4,58
1717,20,Female,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,72.36,11.11,12,Advanced,['Coding'],FALSE,None,Medium,2,FALSE,None,None,19.4,71.67
1718,20,Male,Secondary,FALSE,Healthcare,Healthcare,Informal,Kigali,Rural,113346.45,42.78,22.94,None,Basic,[],FALSE,None,Medium,8,TRUE,Moderately Effective,3,19.4,33.84
1719,21,Female,TVET,FALSE,Healthcare,None,None,Kigali,Rural,None,83.7,24.89,None,Advanced,['Data Analysis'],FALSE,None,Medium,8,FALSE,None,None,19.4,51.56
1720,16,Female,Secondary,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,157701.04,55.61,15.31,None,Basic,['Coding'],TRUE,Business Development,Medium,5,TRUE,Ineffective,10,19.4,57.36
1721,25,Male,University,FALSE,Healthcare,None,None,Kigali,Urban,None,66.92,23.29,None,Advanced,[],FALSE,None,Medium,2,FALSE,None,None,19.4,58.85
1722,24,Male,Secondary,FALSE,Education,None,None,Kigali,Urban,None,59.44,27.34,None,Basic,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,7,FALSE,None,None,19.4,59.94
1723,22,Male,TVET,FALSE,Agriculture,Agriculture,Informal,Southern,Rural,94808.13,64.4,22.31,None,Intermediate,[],FALSE,None,Medium,7,TRUE,Effective,1,19.4,30.32
1724,25,Female,University,FALSE,Construction,None,None,Kigali,Urban,None,76.83,17.62,7,Advanced,[],FALSE,None,Medium,1,FALSE,None,None,19.4,77.87
1725,16,Male,University,FALSE,Construction,None,None,Kigali,Urban,None,78.57,19.18,None,Intermediate,['Coding'],FALSE,None,Medium,4,FALSE,None,None,19.4,53.55
1726,21,Female,TVET,FALSE,Healthcare,None,None,Kigali,Rural,None,60.96,20.88,None,Intermediate,"['Marketing', 'Project Management']",FALSE,None,Low,4,FALSE,None,None,19.4,51.35
1727,16,Male,Secondary,TRUE,Construction,None,None,Kigali,Urban,None,49.64,11.39,9,Advanced,[],TRUE,None,High,3,FALSE,None,None,19.4,50.96
1728,25,Male,University,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,115489.32,65.15,14.04,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Low,8,TRUE,Effective,2,19.4,70.27
1729,20,Female,Secondary,TRUE,Construction,None,None,Kigali,Urban,None,62.19,28.05,10,Basic,['Data Analysis'],FALSE,None,High,1,FALSE,None,None,19.4,57.95
1730,16,Male,University,FALSE,Education,None,None,Kigali,Urban,None,42.34,19.88,4,Advanced,['Data Analysis'],TRUE,None,High,7,FALSE,None,None,19.4,76.02
1731,17,Male,TVET,FALSE,Retail,Retail,Informal,Kigali,Urban,71116.28,84.15,25.47,None,Basic,['Data Analysis'],TRUE,Digital Skills,High,1,TRUE,Effective,7,19.4,50.49
1732,18,Male,University,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,197316.41,40.1,12.88,None,Advanced,"['Marketing', 'Project Management']",TRUE,Business Development,Medium,3,TRUE,Ineffective,3,19.4,60.12
1733,21,Male,Secondary,FALSE,Agriculture,Agriculture,Informal,Eastern,Rural,194697.82,43.84,12.68,None,Advanced,[],TRUE,None,Medium,2,TRUE,Ineffective,6,19.4,51.69
1734,23,Male,TVET,FALSE,ICT,None,None,Kigali,Urban,None,76.04,28.68,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,Medium,3,FALSE,None,None,19.4,70.58
1735,24,Female,University,FALSE,ICT,None,None,Kigali,Urban,None,54.93,11.73,22,Basic,[],FALSE,None,High,2,FALSE,None,None,19.4,79.09
1736,24,Female,TVET,TRUE,Healthcare,None,None,Kigali,Urban,None,80.62,25.62,6,Basic,['Data Analysis'],TRUE,Digital Skills,High,4,FALSE,None,None,19.4,63.92
1737,18,Male,Primary or Less,FALSE,Agriculture,None,None,Kigali,Urban,None,69.08,24.67,None,Basic,"['Marketing', 'Project Management']",FALSE,None,Low,8,FALSE,None,None,19.4,65.05
1738,21,Female,University,FALSE,Education,None,None,Kigali,Urban,None,75.33,23.27,9,Basic,['Coding'],TRUE,Business Development,High,6,FALSE,None,None,19.4,57.97
1739,18,Male,TVET,TRUE,Agriculture,None,None,Eastern,Rural,None,42.35,29.28,22,Advanced,"['Marketing', 'Project Management']",FALSE,None,High,3,FALSE,None,None,19.4,53.72
1740,20,Female,Secondary,FALSE,Construction,Construction,Formal,Kigali,Urban,65866.78,63.87,10.79,None,Advanced,['Data Analysis'],FALSE,None,Medium,8,TRUE,Effective,1,19.4,62.98
1741,22,Male,University,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,245122.32,70.09,24.6,None,Advanced,['Data Analysis'],FALSE,None,High,1,TRUE,Moderately Effective,5,19.4,56.33
1742,18,Male,Secondary,FALSE,Construction,Construction,Informal,Southern,Rural,115559.19,59.82,12.28,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,High,1,TRUE,Ineffective,3,19.4,37.68
1743,24,Male,Secondary,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,120405.68,76.92,14.14,None,Basic,[],TRUE,Business Development,High,5,TRUE,Ineffective,7,19.4,57.59
1744,25,Female,Secondary,FALSE,Education,Education,Formal,Western,Rural,232759.16,67.49,19.44,None,Basic,['Data Analysis'],FALSE,None,High,4,TRUE,Effective,7,19.4,30.46
1745,22,Male,TVET,FALSE,ICT,None,None,Kigali,Urban,None,53.13,21.58,None,Basic,['Data Analysis'],TRUE,Vocational Training,Medium,3,FALSE,None,None,19.4,63.86
1746,18,Male,TVET,TRUE,Retail,None,None,Northern,Rural,None,72.89,20.06,18,Advanced,['Data Analysis'],FALSE,None,Low,2,FALSE,None,None,19.4,43.78
1747,19,Female,TVET,FALSE,Construction,Construction,Formal,Northern,Rural,84916.94,54.19,23.56,None,Basic,['Coding'],FALSE,None,High,8,TRUE,Effective,4,19.4,47.38
1748,21,Female,Primary or Less,FALSE,Retail,Retail,Formal,Kigali,Urban,282560.65,71.29,18.46,None,Intermediate,"['Marketing', 'Project Management']",FALSE,None,Low,1,TRUE,Effective,2,19.4,61.21
1749,21,Female,Primary or Less,FALSE,ICT,None,None,Southern,Rural,None,44.92,15.33,None,Intermediate,[],FALSE,None,Medium,4,FALSE,None,None,19.4,52.17
1750,19,Male,TVET,FALSE,Construction,None,None,Kigali,Urban,None,64.79,19.15,None,Advanced,['Data Analysis'],TRUE,Business Development,Low,6,FALSE,None,None,19.4,78.22
1751,17,Male,University,FALSE,Construction,Construction,Formal,Kigali,Urban,262983.58,45.05,13.08,None,Basic,[],FALSE,None,High,1,TRUE,Ineffective,3,19.4,71.62
1752,17,Female,University,FALSE,ICT,ICT,Informal,Kigali,Urban,171372,69.14,20.75,None,Advanced,['Coding'],TRUE,None,Medium,4,TRUE,Ineffective,2,19.4,67.69
1753,18,Male,Secondary,FALSE,Education,Education,Informal,Kigali,Urban,151054.42,79.72,19.78,None,Intermediate,[],FALSE,None,Medium,7,TRUE,Ineffective,5,19.4,65.21
1754,24,Male,Primary or Less,FALSE,ICT,ICT,Formal,Kigali,Urban,239873.85,67,18,None,Basic,['Coding'],TRUE,None,Low,2,TRUE,Moderately Effective,4,19.4,76.84
1755,22,Female,Secondary,TRUE,ICT,None,None,Kigali,Urban,None,70.1,14.6,21,Basic,['Data Analysis'],FALSE,None,Medium,2,FALSE,None,None,19.4,65.83
1756,21,Male,University,FALSE,Retail,None,None,Kigali,Urban,None,72.34,27.37,11,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,1,FALSE,None,None,19.4,67.5
1757,23,Female,Secondary,FALSE,Retail,None,None,Western,Rural,None,77.6,15.29,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Low,5,FALSE,None,None,19.4,57.65
1758,22,Male,Secondary,FALSE,Retail,Retail,Formal,Kigali,Rural,222566.02,48.46,16.64,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Low,7,TRUE,Moderately Effective,12,19.4,36.86
1759,21,Male,TVET,TRUE,Agriculture,None,None,Kigali,Urban,None,51.12,11.15,16,Advanced,['Data Analysis'],FALSE,None,Medium,5,FALSE,None,None,19.4,66.69
1760,23,Male,Secondary,FALSE,Agriculture,None,None,Kigali,Urban,None,84.82,24.26,None,Intermediate,[],TRUE,Business Development,Low,7,FALSE,None,None,19.4,58.05
1761,22,Female,University,FALSE,Retail,Retail,Formal,Kigali,Rural,251170.48,52.57,17.69,None,Basic,['Data Analysis'],FALSE,None,Low,7,TRUE,Ineffective,1,19.4,59.44
1762,24,Male,Primary or Less,FALSE,ICT,ICT,Formal,Kigali,Urban,270826.04,85.97,27.06,None,Intermediate,[],FALSE,None,Low,8,TRUE,Effective,6,19.4,53.21
1763,25,Female,University,FALSE,Construction,Construction,Informal,Kigali,Urban,184332.68,59.84,21.19,None,Basic,"['Marketing', 'Project Management']",TRUE,None,Medium,6,TRUE,Moderately Effective,1,19.4,64.54
1764,18,Male,Primary or Less,FALSE,Retail,Retail,Formal,Kigali,Urban,181739.86,63.38,14.7,None,Advanced,[],FALSE,None,Low,4,TRUE,Moderately Effective,2,19.4,63.5
1765,17,Male,Secondary,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,145361.72,46.9,27.94,None,Intermediate,"['Marketing', 'Project Management']",TRUE,None,High,4,TRUE,Ineffective,12,19.4,77.24
1766,21,Female,Secondary,TRUE,Education,None,None,Kigali,Urban,None,88.37,19.97,14,Intermediate,"['Marketing', 'Project Management']",FALSE,None,High,8,FALSE,None,None,19.4,66.43
1767,25,Male,Primary or Less,FALSE,Agriculture,None,None,Southern,Rural,None,44.15,24.32,None,Intermediate,['Data Analysis'],FALSE,None,Low,5,FALSE,None,None,19.4,32.2
1768,18,Male,Primary or Less,FALSE,Construction,Construction,Formal,Eastern,Rural,52207.63,65.3,18.04,None,Basic,"['Marketing', 'Project Management']",TRUE,Vocational Training,Medium,2,TRUE,Moderately Effective,9,19.4,56.21
1769,16,Male,TVET,FALSE,Retail,None,None,Kigali,Urban,None,73.51,25.46,None,Intermediate,[],TRUE,Digital Skills,High,7,FALSE,None,None,19.4,76.01
1770,16,Female,University,FALSE,Construction,Construction,Informal,Kigali,Urban,252783.99,52.39,18.29,None,Advanced,['Coding'],FALSE,None,High,6,TRUE,Effective,2,19.4,59.22
1771,21,Male,University,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,85407.21,59.42,23.07,None,Intermediate,['Data Analysis'],FALSE,None,Low,3,TRUE,Effective,4,19.4,62.49
1772,18,Male,Primary or Less,TRUE,Agriculture,None,None,Western,Rural,None,67.24,17.17,9,Advanced,['Data Analysis'],TRUE,Business Development,Low,7,FALSE,None,None,19.4,34.06
1773,22,Male,Primary or Less,FALSE,Agriculture,Agriculture,Informal,Northern,Rural,189029.57,62.24,17.88,None,Advanced,[],TRUE,Digital Skills,Medium,6,TRUE,Ineffective,10,19.4,53.12
1774,24,Female,Primary or Less,TRUE,Education,None,None,Northern,Rural,None,59.09,26.64,12,Intermediate,[],FALSE,None,High,6,FALSE,None,None,19.4,44.27
1775,25,Male,University,FALSE,Construction,Construction,Informal,Western,Rural,178131.57,52.63,25.29,None,Advanced,[],FALSE,None,High,3,TRUE,Ineffective,12,19.4,57.53
1776,21,Female,TVET,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,248733.27,57.63,13.05,None,Intermediate,['Data Analysis'],FALSE,None,Low,7,TRUE,Moderately Effective,1,19.4,52.47
1777,23,Male,TVET,FALSE,Agriculture,Agriculture,Formal,Northern,Rural,263569.81,53.71,28.26,None,Basic,[],TRUE,None,Low,8,TRUE,Effective,4,19.4,41.86
1778,22,Male,Secondary,FALSE,Construction,Construction,Formal,Kigali,Rural,268498.24,87.04,28.28,None,Basic,"['Marketing', 'Project Management']",TRUE,Business Development,Medium,5,TRUE,Moderately Effective,11,19.4,56.11
1779,24,Female,University,FALSE,Agriculture,None,None,Kigali,Urban,None,62.82,16.68,15,Intermediate,[],FALSE,None,Low,1,FALSE,None,None,19.4,67.62
1780,18,Female,TVET,TRUE,Construction,None,None,Kigali,Urban,None,69.48,11.18,23,Basic,['Data Analysis'],FALSE,None,Medium,8,FALSE,None,None,19.4,59.55
1781,22,Male,TVET,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,113503.12,75.69,10.87,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Digital Skills,High,1,TRUE,Ineffective,8,19.4,54.77
1782,25,Female,Primary or Less,FALSE,Education,Education,Informal,Kigali,Urban,238691.79,86.59,15.74,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Medium,8,TRUE,Ineffective,2,19.4,64.14
1783,18,Male,TVET,FALSE,ICT,ICT,Formal,Kigali,Rural,118417.09,50.33,12.58,None,Basic,['Coding'],FALSE,None,High,8,TRUE,Moderately Effective,3,19.4,59.53
1784,20,Male,University,FALSE,Retail,None,None,Southern,Rural,None,40.68,20.61,None,Intermediate,['Data Analysis'],TRUE,Business Development,High,6,FALSE,None,None,19.4,48.68
1785,19,Male,Secondary,FALSE,ICT,None,None,Northern,Rural,None,87.26,17.22,None,Intermediate,[],FALSE,None,Low,7,FALSE,None,None,19.4,43.76
1786,24,Female,TVET,FALSE,Education,None,None,Kigali,Urban,None,72.94,23.41,None,Advanced,['Data Analysis'],FALSE,None,Medium,7,FALSE,None,None,19.4,74.71
1787,17,Female,University,FALSE,ICT,ICT,Formal,Kigali,Urban,164241.44,41.2,18.84,None,Intermediate,['Coding'],TRUE,Vocational Training,Low,1,TRUE,Effective,8,19.4,57.66
1788,19,Male,Primary or Less,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,116206.45,52.71,12.74,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,High,2,TRUE,Moderately Effective,2,19.4,52.39
1789,19,Female,University,FALSE,Healthcare,None,None,Kigali,Urban,None,75.11,16.25,20,Basic,"['Marketing', 'Project Management']",TRUE,None,High,6,FALSE,None,None,19.4,57.12
1790,24,Female,Primary or Less,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,254533.33,67.19,27.44,None,Basic,"['Marketing', 'Project Management']",FALSE,None,Medium,3,TRUE,Ineffective,2,19.4,58.3
1791,18,Female,Primary or Less,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,259965.58,85.06,18.46,None,Intermediate,"['Marketing', 'Project Management']",FALSE,None,Medium,2,TRUE,Ineffective,8,19.4,77.85
1792,25,Female,TVET,FALSE,Construction,Construction,Formal,Kigali,Urban,144242.43,54.95,13.22,None,Intermediate,['Data Analysis'],FALSE,None,Low,1,TRUE,Moderately Effective,4,19.4,52.19
1793,19,Female,TVET,FALSE,Construction,None,None,Kigali,Urban,None,88.92,16.44,None,Intermediate,['Coding'],TRUE,None,High,3,FALSE,None,None,19.4,63.15
1794,19,Female,University,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,70198.86,63.82,24.66,None,Basic,[],FALSE,None,Low,7,TRUE,Effective,11,19.4,56.23
1795,22,Male,University,FALSE,Agriculture,None,None,Eastern,Rural,None,81.11,23.74,14,Intermediate,[],FALSE,None,High,3,FALSE,None,None,19.4,43.72
1796,24,Male,Secondary,FALSE,Construction,Construction,Informal,Kigali,Urban,281762.57,54.34,10.46,None,Intermediate,['Data Analysis'],TRUE,Digital Skills,Medium,6,TRUE,Moderately Effective,7,19.4,75.51
1797,16,Male,Primary or Less,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,225804.82,70.62,14.7,None,Advanced,[],TRUE,Digital Skills,Low,2,TRUE,Ineffective,6,19.4,79.47
1798,16,Female,Secondary,FALSE,Retail,None,None,Kigali,Urban,None,53.71,11.66,None,Basic,"['Marketing', 'Project Management']",TRUE,None,Low,7,FALSE,None,None,19.4,59.33
1799,23,Male,Secondary,FALSE,Agriculture,None,None,Kigali,Urban,None,59.21,18.32,None,Basic,"['Marketing', 'Project Management']",FALSE,None,Medium,7,FALSE,None,None,19.4,75.28
1800,20,Male,Secondary,TRUE,Healthcare,None,None,Kigali,Urban,None,69.46,26.74,17,Intermediate,['Coding'],FALSE,None,Low,6,FALSE,None,None,19.4,69.25
1801,20,Male,University,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,108451.93,58.69,29.74,None,Advanced,[],TRUE,None,Low,6,TRUE,Ineffective,10,19.4,71.04
1802,16,Male,Secondary,FALSE,Retail,None,None,Kigali,Urban,None,87.19,20.4,None,Basic,[],FALSE,None,High,3,FALSE,None,None,19.4,73.66
1803,22,Female,University,FALSE,Healthcare,Healthcare,Informal,Kigali,Rural,100153.53,63.56,19.18,None,Intermediate,[],TRUE,Vocational Training,Low,1,TRUE,Moderately Effective,10,19.4,34.3
1804,16,Female,University,FALSE,Retail,None,None,Kigali,Urban,None,88.54,20.04,None,Basic,"['Marketing', 'Project Management']",TRUE,None,Low,6,FALSE,None,None,19.4,79.59
1805,19,Male,TVET,FALSE,Retail,Retail,Informal,Kigali,Urban,76214.34,68.17,13.63,None,Advanced,['Coding'],TRUE,None,High,3,TRUE,Moderately Effective,2,19.4,54.2
1806,17,Female,TVET,FALSE,Retail,Retail,Informal,Kigali,Urban,188176.67,75.59,15.56,None,Basic,['Coding'],TRUE,Business Development,High,8,TRUE,Moderately Effective,4,19.4,71.24
1807,16,Female,University,FALSE,Healthcare,None,None,Kigali,Urban,None,63.27,23.99,18,Advanced,"['Marketing', 'Project Management']",TRUE,Digital Skills,High,2,FALSE,None,None,19.4,56.51
1808,23,Female,Primary or Less,FALSE,Retail,Retail,Informal,Kigali,Urban,271304.02,44.59,21.62,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,High,7,TRUE,Ineffective,5,19.4,77.31
1809,21,Female,University,FALSE,Retail,Retail,Formal,Kigali,Urban,192524.33,82.76,19.36,None,Advanced,"['Marketing', 'Project Management']",TRUE,Business Development,Medium,5,TRUE,Effective,10,19.4,58.43
1810,18,Male,Primary or Less,FALSE,Construction,Construction,Formal,Kigali,Urban,59807.54,66.46,10.42,None,Advanced,['Data Analysis'],FALSE,None,Low,6,TRUE,Effective,9,19.4,68.4
1811,19,Female,Primary or Less,FALSE,Education,None,None,Kigali,Urban,None,55.25,15.48,None,Advanced,"['Marketing', 'Project Management']",TRUE,Digital Skills,Medium,3,FALSE,None,None,19.4,55.21
1812,18,Female,University,FALSE,Education,None,None,Southern,Rural,None,65.77,23.65,None,Advanced,['Coding'],TRUE,Vocational Training,High,3,FALSE,None,None,19.4,33.96
1813,21,Female,University,FALSE,ICT,None,None,Kigali,Urban,None,55.23,15.03,2,Basic,['Data Analysis'],TRUE,Business Development,Medium,7,FALSE,None,None,19.4,76.19
1814,22,Male,Secondary,FALSE,Retail,Retail,Formal,Kigali,Urban,281430.88,78.39,10.46,None,Basic,['Coding'],TRUE,Vocational Training,Medium,3,TRUE,Ineffective,7,19.4,54.13
1815,23,Female,Primary or Less,TRUE,Agriculture,None,None,Kigali,Urban,None,83.21,25.65,3,Advanced,['Data Analysis'],TRUE,Business Development,Medium,6,FALSE,None,None,19.4,58.56
1816,17,Female,Secondary,FALSE,Education,Education,Formal,Kigali,Urban,120401.51,46.32,19.71,None,Intermediate,"['Marketing', 'Project Management']",TRUE,None,Low,4,TRUE,Ineffective,8,19.4,68.07
1817,22,Female,Secondary,FALSE,ICT,None,None,Kigali,Urban,None,81.48,21.61,None,Basic,[],FALSE,None,Low,1,FALSE,None,None,19.4,78.76
1818,16,Male,Primary or Less,FALSE,Construction,Construction,Informal,Kigali,Urban,67999.64,64.98,17.59,None,Advanced,[],FALSE,None,High,6,TRUE,Effective,12,19.4,53.76
1819,24,Female,University,FALSE,Education,Education,Formal,Kigali,Urban,83130.57,66.98,23.43,None,Advanced,[],FALSE,None,Low,3,TRUE,Ineffective,7,19.4,77.84
1820,16,Male,Primary or Less,TRUE,Education,None,None,Kigali,Urban,None,74.23,18.99,1,Advanced,"['Marketing', 'Project Management']",FALSE,None,Low,8,FALSE,None,None,19.4,78.72
1821,20,Male,University,FALSE,Agriculture,None,None,Kigali,Urban,None,41.38,26.43,11,Basic,"['Marketing', 'Project Management']",FALSE,None,High,6,FALSE,None,None,19.4,60.46
1822,20,Female,Secondary,FALSE,Construction,Construction,Formal,Eastern,Rural,257505.14,54.71,14.15,None,Basic,[],FALSE,None,Low,8,TRUE,Ineffective,7,19.4,41.96
1823,16,Female,Primary or Less,FALSE,ICT,ICT,Informal,Kigali,Urban,292095.22,54.44,18.31,None,Basic,"['Marketing', 'Project Management']",FALSE,None,Low,7,TRUE,Ineffective,10,19.4,66.42
1824,22,Male,Secondary,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,123945.96,59.54,19.83,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,Low,4,TRUE,Ineffective,11,19.4,74.81
1825,23,Female,Secondary,FALSE,Agriculture,Agriculture,Informal,Southern,Rural,177174.39,40.13,16.24,None,Basic,['Coding'],FALSE,None,Medium,5,TRUE,Ineffective,3,19.4,35.78
1826,25,Male,TVET,FALSE,ICT,ICT,Formal,Kigali,Urban,299755.11,53.94,22.24,None,Advanced,"['Marketing', 'Project Management']",TRUE,Vocational Training,Medium,7,TRUE,Effective,10,19.4,54.28
1827,23,Female,University,FALSE,Education,None,None,Kigali,Urban,None,80.89,22.99,23,Intermediate,[],FALSE,None,Low,6,FALSE,None,None,19.4,71.94
1828,24,Female,Secondary,FALSE,Retail,Retail,Formal,Kigali,Urban,72986.98,79.68,21.12,None,Intermediate,['Data Analysis'],TRUE,Digital Skills,Medium,1,TRUE,Ineffective,6,19.4,74.27
1829,20,Female,University,FALSE,Agriculture,None,None,Kigali,Urban,None,58.73,25.37,None,Advanced,"['Marketing', 'Project Management']",TRUE,None,Medium,4,FALSE,None,None,19.4,76.54
1830,18,Female,Secondary,TRUE,Construction,None,None,Kigali,Urban,None,86.42,23.48,1,Advanced,"['Marketing', 'Project Management']",TRUE,None,Medium,3,FALSE,None,None,19.4,53.7
1831,17,Female,University,FALSE,ICT,ICT,Informal,Kigali,Urban,186128.29,59.48,24.03,None,Intermediate,[],TRUE,None,Low,5,TRUE,Ineffective,8,19.4,64.06
